"Relevance","Relevance"
"Grid","Grid"
"List","List"
"AdjustWare Layered Navigation Pro Section","AdjustWare Layered Navigation Pro Section"
"Layered Navigation Pro","Layered Navigation Pro"
"Categories Filter","Categories Filter"
"Price Filter","Price Filter"
"Remove Links from the Navigation","Remove Links from the Navigation"
"This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters","This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters"
"Reset Filters while Click on Another Category","Reset Filters while Click on Another Category"
"Reload page while Click on Another Category","Reload page while Click on Another Category"
"Defines filtering logic","Defines filtering logic"
"Breadcrumbs","Breadcrumbs"
"None","None"
"OR","OR"
"AND","AND"
"Default","Default"
"Slider","Slider"
"Input","Input"
"From","From"
"To","To"
"Go","Go"
"Range:","Range:"
"Value:","Value:"
"Shop by","Shop by"
"Clear All","Clear All"
"Remove This Item","Remove This Item"
"Show More Attributes","Show More Attributes"
"Show Less Attributes","Show Less Attributes"
"Show More","Show More"
"Show Less","Show Less"
"Layered Navigation Pro - Ranging Filters","Layered Navigation Pro - Ranging Filters"
"Automatic ranging for Attributes","Automatic ranging for Attributes"
"Automatic ranging for Values","Automatic ranging for Values"
"Featured Attributes Limit","Featured Attributes Limit"
"Featured Values Limit in Attributes","Featured Values Limit in Attributes"
"Attributes and Values usage refreshing period","Attributes and Values usage refreshing period"
"Period in hours","Period in hours"
"Configurable Product Attributes","Configurable Product Attributes"
"Index configurable product attributes for layered navigation pro filtering","Index configurable product attributes for layered navigation pro filtering"
