"Order Max Amount","Order Max Amount"
"On Cart","On Cart"
"Enable Max Amount","Enable Max Amount"
"Information Message","Information Message"
"On Product","On Product"
"If the option is activated, the check will be made before the addition in the cart","If the option is activated, the check will be made before the addition in the cart"
"Max Amount Allow In Cart","Max Amount Allow In Cart"
"<span style=""color: red; font-weight: bold;"">Attention</span> This feature will be activated only if <em style=""white-space: nowrap;"">""On Cart""</em> is enabled.","<span style=""color: red; font-weight: bold;"">Attention</span> This feature will be activated only if <em style=""white-space: nowrap;"">""On Cart""</em> is enabled."
"You can use the keyword {{var amount}}, it will be replaced by the amount entered previously.","You can use the keyword {{var amount}}, it will be replaced by the amount entered previously."
"Ayaline Order Max Amount","Ayaline Order Max Amount"
