"Relevance","Pertinenza"
"Grid","Griglia"
"List","Lista"
"AdjustWare Layered Navigation Pro Section","Sezione di Regolazione del Ware di Processo della Navigazione su Piu` Livelli"
"Layered Navigation Pro","Processo della Navigazione su Piu` Livelli"
"Categories Filter","Filtro per Categorie"
"Price Filter","Filtro per Prezzi"
"Remove Links from the Navigation","Eliminare i Link dalla Navigazione"
"This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters","Questo impedisce problemi di `Contenuti Duplicati` da sistemi di ricerca, tuttavia i clienti con disabilitato JavaScript non saranno in grado di utilizzare i filtri."
"Reset Filters while Click on Another Category","Reset Filtri mentre Cliccare su un'Altra Categoria"
"Reload page while Click on Another Category","Aggiorna la pagina mentre Cliccare su un'Altra Categoria"
"Defines filtering logic","Definisce la logica di filtraggio"
"Breadcrumbs","Breadcrumbs"
"None","Nessuno"
"OR","O"
"AND","E"
"Default","Default"
"Slider","Cursore"
"Input","Input"
"From","Da"
"To","A"
"Go","Vai"
"Range:","Intervallo:"
"Value:","Valore:"
"Shop by","Acquistare per"
"Clear All","Cancella Tutto"
"Remove This Item","Eliminare Questo Articolo"
"Show More Attributes","Mostra di più attributi"
"Show Less Attributes","Mostra meno gli attributi"
"Show More","Mostra di più"
"Show Less","Mostra meno"
"Layered Navigation Pro - Ranging Filters","Layered Navigation Pro - Filtri Ranging"
"Automatic ranging for Attributes","Automatici che vanno per gli attributi"
"Automatic ranging for Values","Automatici che vanno per i valori"
"Featured Attributes Limit","Attributi presenti Limite"
"Featured Values Limit in Attributes","I valori limite in evidenza gli attributi"
"Attributes and Values usage refreshing period","Gli attributi e il loro utilizzo Valori periodo rinfrescante"
"Period in hours","Durata in ore"
"Configurable Product Attributes","Attributi di prodotto configurabile"
"Index configurable product attributes for layered navigation pro filtering","Indice dei prodotti attributi configurabili per strati di navigazione pro filtraggio"
