"Relevance","Relevantie"
"Grid","Rooster"
"List","Lijst"
"AdjustWare Layered Navigation Pro Section","AdjustWare Gelaagde Navigatie Pro Afdeling"
"Layered Navigation Pro","Gelaagde Navigatie Pro"
"Categories Filter","Categorieen Filter"
"Price Filter","Prijs Filter"
"Remove Links from the Navigation","Verwijder Links van de Navigatie"
"This prevents `Duplicate content` penalty from search engines, however customers with disabled JavaScript won't be able to use the filters","Dit voorkomt `Duplicate inhoud` straf vanaf de zoekmachines, maar de klanten met uitgeschakeld JavaScript zal niet in staat zijn om de filters te gebruiken"
"Reset Filters while Click on Another Category","Reset Filters tijdens Klik op een Andere Categorie"
"Reload page while Click on Another Category","Pagina herladen tijdens Klik op een Andere Categorie"
"Defines filtering logic","Bepaalt filtering logica"
"Breadcrumbs","Paneermeel"
"None","Geen"
"OR","OF"
"AND","EN"
"Default","Standaard"
"Slider","Schuif"
"Input","Invoer"
"From","Vanaf"
"To","Tot"
"Go","Ga"
"Range:","Gebied:"
"Value:","Waarde:"
"Shop by","Winkel door"
"Clear All","Alles wissen"
"Remove This Item","Deze Item Verwijderen"
"Show More Attributes","Toon Meer attributen"
"Show Less Attributes","Toon Minder attributen"
"Show More","Toon Meer"
"Show Less","Minder tonen"
"Layered Navigation Pro - Ranging Filters","Layered Navigation Pro - Variërend Filters"
"Automatic ranging for Attributes","Automatische variërend van attributen"
"Automatic ranging for Values","Automatische variërend van Waarden"
"Featured Attributes Limit","Speciale attributen Limit"
"Featured Values Limit in Attributes","Aanbevolen grenswaarden in attributen"
"Attributes and Values usage refreshing period","Attributen en waarden gebruik verfrissende periode"
"Period in hours","Periode in uren"
"Configurable Product Attributes","Configureerbare Product eigenschappen"
"Index configurable product attributes for layered navigation pro filtering","Index configureerbaar product attributen voor gelaagde navigatie pro-filtering"
